date,blue light therapy acne,bakuchiol serum
2024-10-06,0,70
2024-10-13,0,58
2024-10-20,0,54
2024-10-27,0,71
2024-11-03,24,48
2024-11-10,57,71
2024-11-17,48,54
2024-11-24,38,66
2024-12-01,50,59
2024-12-08,0,56
2024-12-15,34,59
2024-12-22,84,63
2024-12-29,100,89
2025-01-05,55,75
2025-01-12,37,84
2025-01-19,53,68
2025-01-26,51,67
2025-02-02,42,49
2025-02-09,35,56
2025-02-16,52,92
2025-02-23,54,81
2025-03-02,58,76
2025-03-09,0,62
2025-03-16,42,77
2025-03-23,60,76
2025-03-30,39,75
2025-04-06,49,81
2025-04-13,27,76
2025-04-20,34,57
2025-04-27,25,69
2025-05-04,48,89
2025-05-11,0,69
2025-05-18,0,94
2025-05-25,51,57
2025-06-01,32,60
2025-06-08,36,63
2025-06-15,31,50
2025-06-22,32,55
2025-06-29,40,56
2025-07-06,28,83
2025-07-13,0,80
2025-07-20,27,93
2025-07-27,37,100
2025-08-03,31,58
2025-08-10,0,65
2025-08-17,30,70
2025-08-24,33,55
2025-08-31,0,47
2025-09-07,0,35
2025-09-14,24,54
2025-09-21,14,51
2025-09-28,24,49
2025-10-05,29,50
