query,score,trend_velocity,search_volume,product_viability,specificity,trend_classification,trend_value,trend_type,source_keyword,category,scraped_at
mactrem led ring light kit,0.8432,1.214,58.35,0.44999999999999996,1.0,emerging,10100,rising,ring light,electronics,2026-03-26 03:00
jbl flip 6 portable waterproof bluetooth speaker,0.8037,1.128,49.49,0.6,1.0,stable,450,rising,bluetooth speaker,electronics,2026-03-26 03:00
levoit vital 200s smart air purifier,0.776,1.14,53.59,0.4,1.0,stable,300,rising,air purifier,home,2026-03-26 03:02
winix air purifier c610,0.776,1.14,53.59,0.4,1.0,stable,110,rising,air purifier,home,2026-03-26 03:02
razer ring light,0.7757,1.214,58.35,0.3,0.8,emerging,25500,rising,ring light,electronics,2026-03-26 03:00
neewer ring light,0.7757,1.214,58.35,0.3,0.8,emerging,70,rising,ring light,electronics,2026-03-26 03:00
ring light camera,0.7757,1.214,58.35,0.3,0.8,emerging,40,rising,ring light,electronics,2026-03-26 03:00
ring of light,0.7757,1.214,58.35,0.3,0.8,emerging,100,top,ring light,electronics,2026-03-26 03:00
ring light camera,0.7757,1.214,58.35,0.3,0.8,emerging,57,top,ring light,electronics,2026-03-26 03:00
best ring light,0.7757,1.214,58.35,0.3,0.8,emerging,54,top,ring light,electronics,2026-03-26 03:00
led ring light,0.7757,1.214,58.35,0.3,0.8,emerging,50,top,ring light,electronics,2026-03-26 03:00
jbl clip 5 portable bluetooth speaker,0.7662,1.128,49.49,0.45,1.0,stable,650,rising,bluetooth speaker,electronics,2026-03-26 03:00
jbl go 4 portable bluetooth speaker,0.7662,1.128,49.49,0.45,1.0,stable,450,rising,bluetooth speaker,electronics,2026-03-26 03:00
jbl clip 4 portable bluetooth speaker,0.7662,1.128,49.49,0.45,1.0,stable,400,rising,bluetooth speaker,electronics,2026-03-26 03:00
jbl xtreme 3 portable bluetooth speaker,0.7662,1.128,49.49,0.45,1.0,stable,400,rising,bluetooth speaker,electronics,2026-03-26 03:00
iphone 17e phone case,0.7635,0.961,63.23,0.5499999999999999,1.0,stable,6000,rising,phone case,electronics,2026-03-26 03:00
s26 ultra phone case,0.7635,0.961,63.23,0.5499999999999999,1.0,stable,1600,rising,phone case,electronics,2026-03-26 03:00
samsung s26 ultra phone case,0.7635,0.961,63.23,0.5499999999999999,1.0,stable,950,rising,phone case,electronics,2026-03-26 03:00
iphone 17 phone case,0.7635,0.961,63.23,0.5499999999999999,1.0,stable,30,top,phone case,electronics,2026-03-26 03:00
phone stand holder,0.7551,1.065,52.6,0.6,0.8,stable,19,top,phone stand,electronics,2026-03-26 03:00
pure enrichment air purifier,0.751,1.14,53.59,0.3,1.0,stable,120,rising,air purifier,home,2026-03-26 03:02
true hepa air purifier,0.751,1.14,53.59,0.3,1.0,stable,110,rising,air purifier,home,2026-03-26 03:02
phone stand with light,0.7476,1.065,52.6,0.44999999999999996,1.0,stable,40,rising,phone stand,electronics,2026-03-26 03:00
w king bluetooth speaker,0.7412,1.128,49.49,0.35,1.0,stable,10200,rising,bluetooth speaker,electronics,2026-03-26 03:00
marshall kilburn ii portable bluetooth speaker,0.7412,1.128,49.49,0.35,1.0,stable,5800,rising,bluetooth speaker,electronics,2026-03-26 03:00
marshall acton iii bluetooth speaker,0.7412,1.128,49.49,0.35,1.0,stable,600,rising,bluetooth speaker,electronics,2026-03-26 03:00
quad lock phone case,0.7385,0.961,63.23,0.44999999999999996,1.0,stable,140,rising,phone case,electronics,2026-03-26 03:00
17e phone case,0.7335,0.961,63.23,0.5499999999999999,0.8,stable,8600,rising,phone case,electronics,2026-03-26 03:00
